id;annt_id;user_id;has_read;read_time;created_by;created_date;last_modified_by;last_modified_date
1;13210;7865;true;2024-01-01T01:48:44;26110;2024-01-01T01:01:58;13652;2023-12-31T17:47:02
2;14449;16609;false;2023-12-31T10:10:21;21038;2023-12-31T21:28:54;21573;2023-12-31T07:17:38
3;8117;3571;false;2023-12-31T22:16:47;13433;2023-12-31T20:18:56;4434;2024-01-01T05:55:08
4;26650;11175;false;2023-12-31T07:08:34;31737;2023-12-31T07:53:44;12831;2023-12-31T19:43:16
5;18506;6581;false;2024-01-01T01:29:50;1108;2023-12-31T13:22:08;24939;2024-01-01T06:12:06
6;10309;308;true;2023-12-31T14:03:59;21031;2024-01-01T06:02:02;10731;2024-01-01T01:07:30
7;32086;15737;false;2023-12-31T17:20:10;12293;2023-12-31T06:37:09;19823;2024-01-01T00:13:22
8;20442;8955;false;2023-12-31T12:57:44;16362;2023-12-31T17:50:49;11950;2023-12-31T22:58:55
9;28804;17532;true;2024-01-01T00:27:32;22425;2023-12-31T12:11:24;28079;2023-12-31T09:52:41
10;16193;3100;false;2023-12-31T12:56:24;18097;2024-01-01T03:33:23;18204;2023-12-31T13:14:48
